Timestamp,Bprice,Bvolume,Nprice,Nvolume
2019-06-26,11766,188227336,7933.919922,2104750000
2019-06-27,12933,521683548,7939.359863,2023120000
2019-06-28,11133,423175771,7988.759766,4078990000
2019-06-29,12374,251088678,8145.850098,2208900000
2019-06-30,11890,184877336,8086.649902,1946320000
2019-07-01,10738,172764922,8129.569824,1548190000
2019-07-02,10579,171482109,8123.279785,149410000
2019-07-03,10805,240430091,8112.910156,177320000
2019-07-04,11985,273546634,8061.410156,1866770000
2019-07-05,11160,130466909,8183.189941,2060510000
2019-07-06,10955,124193829,8219.280273,1966970000
2019-07-07,11232,85554898,8209.200195,1824870000
2019-07-08,11477,67612787,8263.179688,1783980000
2019-07-09,12313,277905477,8251.660156,1933960000
2019-07-10,12587,364111379,8224,1846960000
2019-07-11,12100,507237488,8151.759766,2016310000
2019-07-12,11353,400745299,8241.339844,1878730000
2019-07-13,11804,223317774,8171.990234,1845770000
2019-07-14,11389,237143043,8242.5,1832220000
2019-07-15,10187,163504273,8227.360352,1947550000
2019-07-16,10874,334140372,8294.679688,2023130000
2019-07-17,9398,413796084,8294.299805,1954350000
2019-07-18,9674,350207291,8325.099609,1874780000
2019-07-19,10639,400333481,8231.769531,1884300000
2019-07-20,10536,266367992,8290.799805,2667060000
2019-07-21,10765,231375271,8190.560059,2792650000
2019-07-22,10587,149533508,8056.419922,2252550000
2019-07-23,10324,207597158,7823.330078,2636740000
2019-07-24,9844,198778567,7804.509766,2201610000
2019-07-25,9772,207985687,7747.27002,2453230000
2019-07-26,9875,132194259,7921.589844,2415670000
2019-07-27,9849,122793165,7997.189941,2224330000
2019-07-28,9474,196200933,7907.490234,2056360000
2019-07-29,9530,93425735,7852.370117,2346980000
2019-07-30,9501,110257994,7877.330078,2522870000
2019-07-31,9589,115667922,7790.200195,2182590000
2019-08-01,10085,171671949,7828.350098,1995130000
2019-08-02,10407,173753011,8006.180176,1934980000
2019-08-03,10530,194052552,7989.359863,1747580000
2019-08-04,10815,142750702,8017.069824,1716370000
2019-08-05,10980,165486450,8038.790039,1777630000
