Date,Open,Volume
2019-06-26,7933.919922,2104750000
2019-06-27,7939.359863,2023120000
2019-06-28,7988.759766,4078990000
2019-07-01,8145.850098,2208900000
2019-07-02,8086.649902,1946320000
2019-07-03,8129.569824,1548190000
2019-07-05,8123.279785,149410000
2019-07-08,8112.910156,177320000
2019-07-09,8061.410156,1866770000
2019-07-10,8183.189941,2060510000
2019-07-11,8219.280273,1966970000
2019-07-12,8209.200195,1824870000
2019-07-15,8263.179688,1783980000
2019-07-16,8251.660156,1933960000
2019-07-17,8224.000000,1846960000
2019-07-18,8151.759766,2016310000
2019-07-19,8241.339844,1878730000
2019-07-22,8171.990234,1845770000
2019-07-23,8242.500000,1832220000
2019-07-24,8227.360352,1947550000
2019-07-25,8294.679688,2023130000
2019-07-26,8294.299805,1954350000
2019-07-29,8325.099609,1874780000
2019-07-30,8231.769531,1884300000
2019-07-31,8290.799805,2667060000
2019-08-01,8190.560059,2792650000
2019-08-02,8056.419922,2252550000
2019-08-05,7823.330078,2636740000
2019-08-06,7804.509766,2201610000
2019-08-07,7747.270020,2453230000
2019-08-08,7921.589844,2415670000
2019-08-09,7997.189941,2224330000
2019-08-12,7907.490234,2056360000
2019-08-13,7852.370117,2346980000
2019-08-14,7877.330078,2522870000
2019-08-15,7790.200195,2182590000
2019-08-16,7828.350098,1995130000
2019-08-19,8006.180176,1934980000
2019-08-20,7989.359863,1747580000
2019-08-21,8017.069824,1716370000
2019-08-22,8038.790039,1777630000
2019-08-23,7943.649902,2207070000
2019-08-26,7829.580078,1688860000
2019-08-27,7908.779785,1913760000
2019-08-28,7798.350098,1656930000
2019-08-29,7945.779785,1700840000
2019-08-30,8015.160156,1665840000
2019-09-03,7906.439941,1936210000
2019-09-04,7949.810059,1891300000
2019-09-05,8061.290039,2096300000
2019-09-06,8125.580078,1876380000
2019-09-09,8130.910156,2172240000
2019-09-10,8049.979980,2362860000
2019-09-11,8091.680176,2310440000
2019-09-12,8206.580078,2159260000
2019-09-13,8190.569824,1976770000
2019-09-16,8121.640137,1869220000
2019-09-17,8148.649902,1850340000
2019-09-18,8174.620117,2034880000
2019-09-19,8193.589844,1792700000
2019-09-20,8184.879883,3359380000
2019-09-23,8106.490234,1780160000
2019-09-24,8147.229980,2302600000
2019-09-25,7990.660156,2015270000
2019-09-26,8070.120117,1832800000
2019-09-27,8047.109863,2037720000
2019-09-30,7964.089844,1805820000
2019-10-01,8026.830078,2243650000
2019-10-02,7851.129883,2495160000
2019-10-03,7787.020020,2141490000
2019-10-04,7908.439941,1736890000
2019-10-07,7956.410156,1739450000
2019-10-08,7898.270020,1933580000
2019-10-09,7895.959961,1553900000
2019-10-10,7904.560059,1778740000
2019-10-11,8047.339844,2176080000
2019-10-14,8044.350098,1419730000
2019-10-15,8074.850098,1836650000
2019-10-16,8119.810059,1886720000
2019-10-17,8176.910156,1861570000
2019-10-18,8149.850098,2012930000
2019-10-21,8137.419922,1752860000
2019-10-22,8188.120117,1847200000
2019-10-23,8090.240234,1805030000
2019-10-24,8180.040039,1882490000
2019-10-25,8150.589844,1894740000
2019-10-28,8285.769531,1956280000
2019-10-29,8313.349609,1834530000
2019-10-30,8284.280273,1928420000
2019-10-31,8314.379883,2258270000
2019-11-01,8335.049805,2057310000
2019-11-04,8445.500000,2149910000
2019-11-05,8446.620117,2316710000
2019-11-06,8426.570313,2332650000
2019-11-07,8455.110352,2393950000
2019-11-08,8422.669922,1974190000
2019-11-11,8431.259766,1715470000
2019-11-12,8471.070313,1987820000
2019-11-13,8455.019531,2173320000
2019-11-14,8461.059570,2106550000
2019-11-15,8524.480469,2188210000
2019-11-18,8529.160156,2047240000
2019-11-19,8578.019531,2075000000
2019-11-20,8543.570313,2596030000
2019-11-21,8527.870117,2056230000
2019-11-22,8530.540039,1877090000
2019-11-25,8559.650391,2256070000
2019-11-26,8635.400391,2434570000
2019-11-27,8669.589844,1744580000
2019-11-29,8682.009766,1099090000
2019-12-02,8672.839844,2225940000
2019-12-03,8460.719727,2308600000
2019-12-04,8557.450195,2150680000
2019-12-05,8587.929688,2123380000
2019-12-06,8634.250000,2053530000
2019-12-09,8650.860352,2088520000
2019-12-10,8623.559570,2053390000
2019-12-11,8631.120117,1937850000
2019-12-12,8645.360352,2388270000
2019-12-13,8713.910156,2188720000
2019-12-16,8791.309570,2346290000
2019-12-17,8829.469727,2374120000
2019-12-18,8834.650391,2727870000
2019-12-19,8838.969727,2415950000
2019-12-20,8911.839844,3825460000
2019-12-23,8950.200195,2025450000
2019-12-24,8955.009766,1014520000
2019-12-26,8970.209961,1634920000
2019-12-27,9049.469727,1832200000
2019-12-30,9004.450195,2042420000
2019-12-31,8918.740234,2182800000
2020-01-02,9039.459961,2848370000
2020-01-03,8976.429688,2567400000
2020-01-06,8943.500000,2788120000
